t	x	y	r	vx	vy	v
50.75	401415.44	390771008.00	390771214.17	7909.68	-0.13	7909.68
51.00	403392.84	390771008.00	390771216.21	7909.68	-0.13	7909.68
51.25	405370.25	390771008.00	390771218.26	7909.68	-0.13	7909.68
51.50	407347.66	390771008.00	390771220.31	7909.68	-0.13	7909.68
51.75	409325.06	390771008.00	390771222.38	7909.68	-0.14	7909.68
52.00	411302.47	390771008.00	390771224.46	7909.68	-0.14	7909.68
52.25	413279.88	390771008.00	390771226.54	7909.68	-0.14	7909.68
52.50	415257.28	390771008.00	390771228.64	7909.68	-0.14	7909.68
52.75	417234.69	390771008.00	390771230.75	7909.68	-0.14	7909.68
53.00	419212.09	390771008.00	390771232.86	7909.68	-0.14	7909.68
53.25	421189.50	390771008.00	390771234.99	7909.68	-0.14	7909.68
53.50	423166.91	390771008.00	390771237.12	7909.68	-0.14	7909.68
53.75	425144.31	390771008.00	390771239.27	7909.68	-0.14	7909.68
54.00	427121.72	390771008.00	390771241.43	7909.68	-0.14	7909.68
54.25	429099.12	390771008.00	390771243.59	7909.68	-0.14	7909.68
54.50	431076.53	390771008.00	390771245.77	7909.68	-0.14	7909.68
54.75	433053.94	390771008.00	390771247.96	7909.68	-0.14	7909.68
55.00	435031.34	390771008.00	390771250.15	7909.68	-0.14	7909.68
55.25	437008.75	390771008.00	390771252.36	7909.68	-0.14	7909.68
55.50	438986.16	390771008.00	390771254.58	7909.68	-0.14	7909.68
55.75	440963.56	390771008.00	390771256.80	7909.68	-0.15	7909.68
56.00	442940.97	390771008.00	390771259.04	7909.68	-0.15	7909.68
56.25	444918.38	390771008.00	390771261.28	7909.68	-0.15	7909.68
56.50	446895.78	390771008.00	390771263.54	7909.68	-0.15	7909.68
56.75	448873.19	390771008.00	390771265.81	7909.68	-0.15	7909.68
57.00	450850.59	390771008.00	390771268.08	7909.68	-0.15	7909.68
57.25	452828.00	390771008.00	390771270.37	7909.68	-0.15	7909.68
57.50	454805.41	390771008.00	390771272.67	7909.68	-0.15	7909.68
57.75	456782.81	390771008.00	390771274.97	7909.68	-0.15	7909.68
58.00	458760.22	390771008.00	390771277.29	7909.68	-0.15	7909.68
58.25	460737.62	390771008.00	390771279.62	7909.68	-0.15	7909.68
58.50	462715.03	390771008.00	390771281.95	7909.68	-0.15	7909.68
58.75	464692.44	390771008.00	390771284.30	7909.68	-0.15	7909.68
59.00	466669.84	390771008.00	390771286.66	7909.68	-0.15	7909.68
59.25	468647.25	390771008.00	390771289.02	7909.68	-0.15	7909.68
59.50	470624.66	390771008.00	390771291.40	7909.68	-0.16	7909.68
59.75	472602.06	390771008.00	390771293.78	7909.68	-0.16	7909.68
60.00	474579.47	390771008.00	390771296.18	7909.68	-0.16	7909.68
60.25	476556.88	390771008.00	390771298.59	7909.68	-0.16	7909.68
60.50	478534.28	390771008.00	390771301.00	7909.68	-0.16	7909.68
60.75	480511.69	390771008.00	390771303.43	7909.68	-0.16	7909.68
61.00	482489.09	390771008.00	390771305.87	7909.68	-0.16	7909.68
61.25	484466.50	390771008.00	390771308.31	7909.68	-0.16	7909.68
61.50	486443.91	390771008.00	390771310.77	7909.68	-0.16	7909.68
61.75	488421.31	390771008.00	390771313.24	7909.68	-0.16	7909.68
62.00	490398.72	390771008.00	390771315.71	7909.68	-0.16	7909.68
62.25	492376.12	390771008.00	390771318.20	7909.68	-0.16	7909.68
62.50	494353.53	390771008.00	390771320.70	7909.68	-0.16	7909.68
62.75	496330.94	390771008.00	390771323.20	7909.68	-0.16	7909.68
63.00	498308.34	390771008.00	390771325.72	7909.68	-0.16	7909.68
63.25	500285.75	390771008.00	390771328.25	7909.68	-0.17	7909.68
63.50	502263.16	390771008.00	390771330.78	7909.68	-0.17	7909.68
63.75	504240.56	390771008.00	390771333.33	7909.68	-0.17	7909.68
64.00	506217.97	390771008.00	390771335.89	7909.68	-0.17	7909.68
64.25	508195.38	390771008.00	390771338.45	7909.68	-0.17	7909.68
64.50	510172.78	390771008.00	390771341.03	7909.68	-0.17	7909.68
64.75	512150.19	390771008.00	390771343.62	7909.68	-0.17	7909.68
65.00	514127.59	390771008.00	390771346.21	7909.68	-0.17	7909.68
65.25	516105.00	390771008.00	390771348.82	7909.68	-0.17	7909.68
65.50	518082.41	390771008.00	390771351.44	7909.68	-0.17	7909.68
65.75	520059.81	390771008.00	390771354.06	7909.68	-0.17	7909.68
66.00	522037.22	390771008.00	390771356.70	7909.68	-0.17	7909.68
66.25	524014.62	390771008.00	390771359.35	7909.68	-0.17	7909.68
66.50	525992.06	390771008.00	390771362.00	7909.68	-0.17	7909.68
66.75	527969.50	390771008.00	390771364.67	7909.68	-0.17	7909.68
67.00	529946.94	390771008.00	390771367.35	7909.68	-0.17	7909.68
67.25	531924.38	390771008.00	390771370.03	7909.68	-0.18	7909.68
67.50	533901.81	390771008.00	390771372.73	7909.68	-0.18	7909.68
67.75	535879.25	390771008.00	390771375.44	7909.68	-0.18	7909.68
68.00	537856.69	390771008.00	390771378.15	7909.68	-0.18	7909.68
68.25	539834.12	390771008.00	390771380.88	7909.68	-0.18	7909.68
68.50	541811.56	390771008.00	390771383.62	7909.68	-0.18	7909.68
68.75	543789.00	390771008.00	390771386.36	7909.68	-0.18	7909.68
69.00	545766.44	390771008.00	390771389.12	7909.68	-0.18	7909.68
69.25	547743.88	390771008.00	390771391.89	7909.68	-0.18	7909.68
69.50	549721.31	390771008.00	390771394.66	7909.68	-0.18	7909.68
69.75	551698.75	390771008.00	390771397.45	7909.68	-0.18	7909.68
70.00	553676.19	390771008.00	390771400.25	7909.68	-0.18	7909.68
70.25	555653.62	390771008.00	390771403.05	7909.68	-0.18	7909.68
70.50	557631.06	390771008.00	390771405.87	7909.68	-0.18	7909.68
70.75	559608.50	390771008.00	390771408.70	7909.68	-0.18	7909.68
71.00	561585.94	390771008.00	390771411.53	7909.68	-0.19	7909.68
71.25	563563.38	390771008.00	390771414.38	7909.68	-0.19	7909.68
71.50	565540.81	390771008.00	390771417.24	7909.68	-0.19	7909.68
71.75	567518.25	390771008.00	390771420.10	7909.68	-0.19	7909.68
72.00	569495.69	390771008.00	390771422.98	7909.68	-0.19	7909.68
72.25	571473.12	390771008.00	390771425.87	7909.68	-0.19	7909.68
72.50	573450.56	390771008.00	390771428.76	7909.68	-0.19	7909.68
72.75	575428.00	390771008.00	390771431.67	7909.68	-0.19	7909.68
73.00	577405.44	390771008.00	390771434.59	7909.68	-0.19	7909.68
73.25	579382.88	390771008.00	390771437.52	7909.68	-0.19	7909.68
73.50	581360.31	390771008.00	390771440.45	7909.68	-0.19	7909.68
73.75	583337.75	390771008.00	390771443.40	7909.68	-0.19	7909.68
74.00	585315.19	390771008.00	390771446.36	7909.68	-0.19	7909.68
74.25	587292.62	390771008.00	390771449.32	7909.68	-0.19	7909.68
74.50	589270.06	390771008.00	390771452.30	7909.68	-0.19	7909.68
74.75	591247.50	390771008.00	390771455.29	7909.68	-0.20	7909.68
75.00	593224.94	390771008.00	390771458.28	7909.68	-0.20	7909.68
75.25	595202.38	390771008.00	390771461.29	7909.68	-0.20	7909.68
75.50	597179.81	390771008.00	390771464.31	7909.68	-0.20	7909.68
75.75	599157.25	390771008.00	390771467.33	7909.68	-0.20	7909.68
76.00	601134.69	390771008.00	390771470.37	7909.68	-0.20	7909.68
76.25	603112.12	390771008.00	390771473.42	7909.68	-0.20	7909.68
76.50	605089.56	390771008.00	390771476.48	7909.68	-0.20	7909.68
76.75	607067.00	390771008.00	390771479.54	7909.68	-0.20	7909.68
77.00	609044.44	390771008.00	390771482.62	7909.68	-0.20	7909.68
77.25	611021.88	390771008.00	390771485.71	7909.68	-0.20	7909.68
77.50	612999.31	390771008.00	390771488.80	7909.68	-0.20	7909.68
77.75	614976.75	390771008.00	390771491.91	7909.68	-0.20	7909.68
78.00	616954.19	390771008.00	390771495.03	7909.68	-0.20	7909.68
78.25	618931.62	390771008.00	390771498.15	7909.68	-0.20	7909.68
78.50	620909.06	390771008.00	390771501.29	7909.68	-0.20	7909.68
78.75	622886.50	390771008.00	390771504.44	7909.68	-0.21	7909.68
79.00	624863.94	390771008.00	390771507.60	7909.68	-0.21	7909.68
79.25	626841.38	390771008.00	390771510.76	7909.68	-0.21	7909.68
79.50	628818.81	390771008.00	390771513.94	7909.68	-0.21	7909.68
79.75	630796.25	390771008.00	390771517.13	7909.68	-0.21	7909.68
80.00	632773.69	390771008.00	390771520.32	7909.68	-0.21	7909.68
80.25	634751.12	390771008.00	390771523.53	7909.68	-0.21	7909.68
80.50	636728.56	390771008.00	390771526.75	7909.68	-0.21	7909.68
80.75	638706.00	390771008.00	390771529.97	7909.68	-0.21	7909.68
81.00	640683.44	390771008.00	390771533.21	7909.68	-0.21	7909.68
81.25	642660.88	390771008.00	390771536.46	7909.68	-0.21	7909.68
81.50	644638.31	390771008.00	390771539.72	7909.68	-0.21	7909.68
81.75	646615.75	390771008.00	390771542.98	7909.68	-0.21	7909.68
82.00	648593.19	390771008.00	390771546.26	7909.68	-0.21	7909.68
82.25	650570.62	390771008.00	390771549.55	7909.68	-0.21	7909.68
82.50	652548.06	390771008.00	390771552.84	7909.68	-0.22	7909.68
82.75	654525.50	390771008.00	390771556.15	7909.68	-0.22	7909.68
83.00	656502.94	390771008.00	390771559.47	7909.68	-0.22	7909.68
83.25	658480.38	390771008.00	390771562.80	7909.68	-0.22	7909.68
83.50	660457.81	390771008.00	390771566.13	7909.68	-0.22	7909.68
83.75	662435.25	390771008.00	390771569.48	7909.68	-0.22	7909.68
84.00	664412.69	390771008.00	390771572.84	7909.68	-0.22	7909.68
84.25	666390.12	390771008.00	390771576.20	7909.68	-0.22	7909.68
84.50	668367.56	390771008.00	390771579.58	7909.68	-0.22	7909.68
84.75	670345.00	390771008.00	390771582.97	7909.68	-0.22	7909.68
85.00	672322.44	390771008.00	390771586.37	7909.68	-0.22	7909.68
85.25	674299.88	390771008.00	390771589.77	7909.68	-0.22	7909.68
85.50	676277.31	390771008.00	390771593.19	7909.68	-0.22	7909.68
85.75	678254.75	390771008.00	390771596.62	7909.68	-0.22	7909.68
86.00	680232.19	390771008.00	390771600.05	7909.68	-0.22	7909.68
86.25	682209.62	390771008.00	390771603.50	7909.68	-0.23	7909.68
86.50	684187.06	390771008.00	390771606.96	7909.68	-0.23	7909.68
86.75	686164.50	390771008.00	390771610.43	7909.68	-0.23	7909.68
87.00	688141.94	390771008.00	390771613.90	7909.68	-0.23	7909.68
87.25	690119.38	390771008.00	390771617.39	7909.68	-0.23	7909.68
87.50	692096.81	390771008.00	390771620.89	7909.68	-0.23	7909.68
87.75	694074.25	390771008.00	390771624.40	7909.68	-0.23	7909.68
88.00	696051.69	390771008.00	390771627.91	7909.68	-0.23	7909.68
88.25	698029.12	390771008.00	390771631.44	7909.68	-0.23	7909.68
88.50	700006.56	390771008.00	390771634.98	7909.68	-0.23	7909.68
88.75	701984.00	390771008.00	390771638.52	7909.68	-0.23	7909.68
89.00	703961.44	390771008.00	390771642.08	7909.68	-0.23	7909.68
89.25	705938.88	390771008.00	390771645.65	7909.68	-0.23	7909.68
89.50	707916.31	390771008.00	390771649.23	7909.68	-0.23	7909.68
89.75	709893.75	390771008.00	390771652.81	7909.68	-0.23	7909.68
90.00	711871.19	390771008.00	390771656.41	7909.68	-0.23	7909.68
90.25	713848.62	390771008.00	390771660.02	7909.68	-0.24	7909.68
90.50	715826.06	390771008.00	390771663.64	7909.68	-0.24	7909.68
90.75	717803.50	390771008.00	390771667.26	7909.68	-0.24	7909.68
91.00	719780.94	390771008.00	390771670.90	7909.68	-0.24	7909.68
91.25	721758.38	390771008.00	390771674.55	7909.68	-0.24	7909.68
91.50	723735.81	390771008.00	390771678.20	7909.68	-0.24	7909.68
91.75	725713.25	390771008.00	390771681.87	7909.68	-0.24	7909.68
92.00	727690.69	390771008.00	390771685.55	7909.68	-0.24	7909.68
92.25	729668.12	390771008.00	390771689.24	7909.68	-0.24	7909.68
92.50	731645.56	390771008.00	390771692.93	7909.68	-0.24	7909.68
92.75	733623.00	390771008.00	390771696.64	7909.68	-0.24	7909.68
93.00	735600.44	390771008.00	390771700.36	7909.68	-0.24	7909.68
93.25	737577.88	390771008.00	390771704.09	7909.68	-0.24	7909.68
93.50	739555.31	390771008.00	390771707.82	7909.68	-0.24	7909.68
93.75	741532.75	390771008.00	390771711.57	7909.68	-0.24	7909.68
94.00	743510.19	390771008.00	390771715.33	7909.68	-0.25	7909.68
94.25	745487.62	390771008.00	390771719.10	7909.68	-0.25	7909.68
94.50	747465.06	390771008.00	390771722.87	7909.68	-0.25	7909.68
94.75	749442.50	390771008.00	390771726.66	7909.68	-0.25	7909.68
95.00	751419.94	390771008.00	390771730.46	7909.68	-0.25	7909.68
95.25	753397.38	390771008.00	390771734.27	7909.68	-0.25	7909.68
95.50	755374.81	390771008.00	390771738.08	7909.68	-0.25	7909.68
95.75	757352.25	390771008.00	390771741.91	7909.68	-0.25	7909.68
96.00	759329.69	390771008.00	390771745.75	7909.68	-0.25	7909.68
96.25	761307.12	390771008.00	390771749.60	7909.68	-0.25	7909.68
96.50	763284.56	390771008.00	390771753.45	7909.68	-0.25	7909.68
